GeoId|Geography|LEAID|Year|Iteration|B02001_1est|B02001_1moe|B02001_2est|B02001_2moe|B02001_3est|B02001_3moe|B02001_4est|B02001_4moe|B02001_5est|B02001_5moe|B02001_6est|B02001_6moe|B02001_7est|B02001_7moe|B02001_8est|B02001_8moe|B02001_9est|B02001_9moe|B02001_10est|B02001_10moe
97000US2621240|Lawton Community School District, MI|2621240|2014-2018||5543|516|4952|473|76|49|16|14|14|14|0|14|150|135|335|150|43|47|292|142
97000US4017250|Lawton Public Schools, OK|4017250|2014-2018||90405|625|53828|900|17923|793|4407|550|2422|309|608|157|2297|419|8920|883|660|269|8260|823
97000US1916440|Lawton-Bronson Community School District, IA|1916440|2014-2018||3388|446|3287|439|16|22|41|52|24|34|0|9|9|11|11|10|0|9|11|10
97000US0642580|Laytonville Unified School District, CA|0642580|2014-2018||2530|436|2013|444|15|15|269|86|8|13|0|12|64|101|161|86|0|12|161|86
97000US4826970|Lazbuddie Independent School District, TX|4826970|2014-2018||844|184|809|177|23|37|0|13|0|13|0|13|0|13|12|19|0|13|12|19
95000US0621240|Le Grand Union Elementary School District, CA|0621240|2014-2018||2008|208|1278|218|12|18|10|10|38|28|0|12|614|179|56|50|41|43|15|15
96000US0621270|Le Grand Union High School District, CA|0621270|2014-2018||7429|580|4391|619|77|62|74|53|50|32|0|17|2730|545|107|58|47|44|60|35
97000US1916530|Le Mars Community School District, IA|1916530|2014-2018||13667|357|12758|377|52|47|64|59|69|49|16|19|536|219|172|102|0|15|172|102
97000US3616950|Le Roy Central School District, NY|3616950|2014-2018||7914|279|7290|352|226|127|0|17|52|45|0|17|29|43|317|174|0|17|317|174
97000US1722620|Le Roy Community Unit School District 2, IL|1722620|2014-2018||4378|135|4344|134|11|20|0|11|0|11|0|11|5|7|18|15|0|11|18|15
97000US2718070|Le Sueur-Henderson School District, MN|2718070|2014-2018||7302|243|6854|279|108|90|7|7|81|44|3|3|104|98|145|52|3|5|142|52
95000US4017310|Leach Public School, OK|4017310|2014-2018||835|111|374|75|0|9|303|61|5|8|0|9|0|9|153|59|2|3|151|59
97000US0503420|Lead Hill School District, AR|0503420|2014-2018||3021|488|2941|484|0|12|49|52|14|20|0|12|0|12|17|20|0|12|17|20
97000US4641300|Lead-Deadwood School District 40-1, SD|4641300|2014-2018||6639|314|5997|299|77|109|234|144|81|74|18|27|30|41|202|116|28|47|174|106
97000US2802520|Leake County School District, MS|2802520|2014-2018||22870|*****|11754|88|9608|173|1289|51|85|150|0|24|17|27|117|81|0|24|117|81
97000US4827000|Leakey Independent School District, TX|4827000|2014-2018||2206|246|2198|246|5|6|0|13|2|4|0|13|0|13|1|2|0|13|1|2
97000US4827030|Leander Independent School District, TX|4827030|2014-2018||185348|2690|154973|2886|6565|935|552|158|11310|980|119|136|3774|852|8055|1213|545|207|7510|1195
97000US4827060|Leary Independent School District, TX|4827060|2014-2018||1075|258|1005|233|19|24|9|12|0|13|0|13|25|32|17|19|6|10|11|14
97000US2008430|Leavenworth Unified School District 453, KS|2008430|2014-2018||27368|592|20763|798|3743|498|85|63|441|167|36|45|629|334|1671|409|117|97|1554|388
95000US3408430|Lebanon Borough School District, NJ|3408430|2014-2018||1945|153|1820|167|19|24|0|12|87|54|0|12|13|19|6|7|3|4|3|6
